363130255506566968,1050
16678916924423704440,217
12654577515499039369,145
5159039809664896776,104
2986164779746620558,103
17797710725715639546,99
18354841911838065773,94
11906962803444003237,94
2455525197182572774,85
2675322745581419890,79
839326915810387902,61
3841656042734218621,58
6900386515662571285,58
14781785575067026934,54
14257434786005880445,48
6664288051039417389,47
10527276408207809139,45
3083599342333173205,44
10167804317265679975,43
7467923558459545772,43
1901883250950186162,42
11406913725908588103,37
3650240465214083226,37
14898343249594215944,37
4998143129042647329,36
781513648088795830,36
18420770473476660637,33
14534196709717096499,30
4146562079611253526,29
14861044163148502933,27
17101202194362039024,25
11672218504700574832,24
11414429136108319501,20
5951833993935156754,18
16457800114577233460,17
4397680857604283833,17
14714555778184478486,17
16160396590292213585,17
5352751653605961777,17
14591210584263094600,15
5850151503098737647,11
11910624869729036732,9
11004691645742662721,8
12967717823607701652,8
11511976546368721292,8
10732357679451550129,8
16759892614895665932,7
13874827904077954800,6
15389271808089949862,6
10061195553684766764,6
11603003307239564083,5
17662666305881917950,5
5757978831325600863,5
5273647585278581057,5
6274291487760303234,4
13866482072226235360,4
3573820837821600854,4
1462583589948485879,3
17711609864470633758,3
9991842382696551454,2
2866254745837948047,2
11037427111300641144,2
6886466573900417768,2
9692798076030307368,2
1271369070857000811,2
14506243461975572712,1
12330481805481206305,1
